Date,Volume
2015-05-18,47804000
2015-05-19,49284000
2015-05-20,43924000
2015-05-21,82428000
2015-05-22,40412000
2015-05-26,44884000
2015-05-27,44622000
2015-05-28,38248000
2015-05-29,60322000
2015-06-01,45066000
2015-06-02,33378000
2015-06-03,54558000
2015-06-04,50216000
2015-06-05,38158000
2015-06-08,43450000
2015-06-09,45774000
2015-06-10,43446000
2015-06-11,58450000
2015-06-12,41088000
2015-06-15,41020000
2015-06-16,45928000
2015-06-17,43718000
2015-06-18,67568000
2015-06-19,89902000
2015-06-22,36472000
2015-06-23,64900000
2015-06-24,52416000
2015-06-25,44750000
2015-06-26,52490000
2015-06-29,55064000
2015-06-30,51938000
2015-07-01,39742000
2015-07-02,26868000
2015-07-06,38064000
2015-07-07,69084000
2015-07-08,47662000
2015-07-09,45428000
2015-07-10,48020000
2015-07-13,79136000
2015-07-14,94724000
2015-07-15,59748000
2015-07-16,81912000
2015-07-17,98644000
2015-07-20,95050000
2015-07-21,63636000
2015-07-22,62298000
2015-07-23,187488000
2015-07-24,438188000
2015-07-27,149820000
2015-07-28,105462000
2015-07-29,75052000
2015-07-30,74862000
2015-07-31,60512000
2015-08-03,60284000
2015-08-04,58692000
2015-08-05,57788000
2015-08-06,76410000
2015-08-07,79384000
2015-08-10,52318000
2015-08-11,53532000
2015-08-12,79246000
2015-08-13,57904000
2015-08-14,39896000
2015-08-17,51634000
2015-08-18,41426000
2015-08-19,46480000
2015-08-20,88160000
2015-08-21,134130000
2015-08-24,201952000
2015-08-25,113586000
2015-08-26,127172000
2015-08-27,122290000
2015-08-28,54934000
2015-08-31,60046000
2015-09-01,77290000
2015-09-02,74142000
2015-09-03,62994000
2015-09-04,53850000
2015-09-08,76214000
2015-09-09,87414000
2015-09-10,51520000
2015-09-11,64558000
2015-09-14,62604000
2015-09-15,57318000
2015-09-16,45056000
2015-09-17,83390000
2015-09-18,123202000
2015-09-21,65666000
2015-09-22,76834000
2015-09-23,44752000
2015-09-24,70020000
2015-09-25,80620000
2015-09-28,108690000
2015-09-29,89150000
2015-09-30,80094000
2015-10-01,75370000
2015-10-02,91956000
2015-10-05,67828000
2015-10-06,90056000
2015-10-07,76242000
2015-10-08,93528000
2015-10-09,70748000
2015-10-12,55522000
2015-10-13,58760000
2015-10-14,71642000
2015-10-15,98740000
2015-10-16,86316000
2015-10-19,87508000
2015-10-20,86924000
2015-10-21,66872000
2015-10-22,155588000
2015-10-23,213854000
2015-10-26,85394000
2015-10-27,75742000
2015-10-28,78524000
2015-10-29,77920000
2015-10-30,77488000
2015-11-02,56330000
2015-11-03,64938000
2015-11-04,96810000
2015-11-05,94476000
2015-11-06,81844000
2015-11-09,80976000
2015-11-10,69790000
2015-11-11,107746000
2015-11-12,85694000
2015-11-13,125222000
2015-11-16,148718000
2015-11-17,86404000
2015-11-18,89396000
2015-11-19,94104000
2015-11-20,77922000
2015-11-23,87702000
2015-11-24,90868000
2015-11-25,53958000
2015-11-27,39336000
2015-11-30,113864000
2015-12-01,95024000
2015-12-02,85470000
2015-12-03,101294000
2015-12-04,90696000
2015-12-07,74656000
2015-12-08,73038000
2015-12-09,103164000
2015-12-10,69110000
2015-12-11,109488000
2015-12-14,86594000
2015-12-15,95068000
2015-12-16,79290000
2015-12-17,73632000
2015-12-18,136826000
2015-12-21,65018000
2015-12-22,53356000
2015-12-23,54458000
2015-12-24,21824000
2015-12-28,75672000
2015-12-29,114700000
2015-12-30,70380000
2015-12-31,74992000
2016-01-04,186290000
2016-01-05,116452000
2016-01-06,106584000
2016-01-07,141498000
2016-01-08,110258000
2016-01-11,97832000
2016-01-12,94482000
2016-01-13,153104000
2016-01-14,144760000
2016-01-15,155690000
2016-01-19,96144000
2016-01-20,159328000
2016-01-21,99044000
2016-01-22,102402000
2016-01-25,87922000
2016-01-26,75314000
2016-01-27,103058000
2016-01-28,280304000
2016-01-29,293552000
2016-02-01,127102000
2016-02-02,126240000
2016-02-03,200974000
2016-02-04,123982000
2016-02-05,194178000
2016-02-08,196510000
2016-02-09,141558000
2016-02-10,135724000
2016-02-11,147948000
2016-02-12,107696000
2016-02-16,102370000
2016-02-17,96480000
2016-02-18,94700000
2016-02-19,99494000
2016-02-22,111332000
2016-02-23,81016000
2016-02-24,124634000
2016-02-25,90510000
2016-02-26,97540000
2016-02-29,82908000
2016-03-01,100770000
2016-03-02,91644000
2016-03-03,54826000
2016-03-04,68330000
2016-03-07,98538000
2016-03-08,94600000
2016-03-09,87546000
2016-03-10,78398000
2016-03-11,75426000
2016-03-14,69084000
2016-03-15,77536000
2016-03-16,70754000
2016-03-17,118562000
2016-03-18,145938000
2016-03-21,103114000
2016-03-22,80012000
