Date,Volume
2016-12-01,56682400
2016-12-02,42398900
2016-12-05,31410100
2016-12-06,92242900
2016-12-07,54897300
2016-12-08,104613000
2016-12-09,60600800
2016-12-12,63342900
2016-12-13,46967800
2016-12-14,46968600
2016-12-15,48871300
2016-12-16,77777700
2016-12-19,46085800
2016-12-20,59314200
2016-12-21,44814100
2016-12-22,36450800
2016-12-23,32288200
2016-12-27,44336500
2016-12-28,71254500
2016-12-29,50234300
2016-12-30,44095400
2017-01-03,55182000
2017-01-04,40781200
2017-01-05,38855200
2017-01-06,34453500
2017-01-09,37304800
2017-01-10,29201600
2017-01-11,39377000
2017-01-12,75244100
2017-01-13,38377500
2017-01-17,70491800
2017-01-18,51797600
2017-01-19,46151300
2017-01-20,27982100
2017-01-23,27905700
2017-01-24,43991200
2017-01-25,61778100
2017-01-26,35866600
2017-01-27,32719200
2017-01-30,37725000
2017-01-31,53704900
2017-02-01,165939300
2017-02-02,116324500
2017-02-03,60036700
2017-02-06,140474100
2017-02-07,158683800
2017-02-08,75942900
2017-02-09,73339900
2017-02-10,54579300
2017-02-13,57413100
2017-02-14,40479100
2017-02-15,33722300
2017-02-16,52502500
2017-02-17,40888000
2017-02-21,66357100
2017-02-22,71505000
2017-02-23,80317600
2017-02-24,46288600
2017-02-27,95422900
2017-02-28,141783000
2017-03-01,73450400
2017-03-02,104330900
2017-03-03,163395900
2017-03-06,117192600
2017-03-07,76666300
2017-03-08,71294700
2017-03-09,45244200
2017-03-10,65142200
2017-03-13,73078100
2017-03-14,52554500
2017-03-15,55179600
2017-03-16,44494800
2017-03-17,224892300
2017-03-20,91565600
2017-03-21,72552700
2017-03-22,61239500
2017-03-23,44549900
2017-03-24,50099500
2017-03-27,42686800
2017-03-28,37420200
2017-03-29,37863500
2017-03-30,44132800
2017-03-31,84566200
2017-04-03,48423700
2017-04-04,58413000
2017-04-05,58816700
2017-04-06,139500100
2017-04-07,70441000
2017-04-10,47178000
2017-04-11,59916600
2017-04-12,37385400
2017-04-13,53442600
2017-04-17,38188200
2017-04-18,37172000
2017-04-19,36491100
2017-04-20,41976100
2017-04-21,25689600
2017-04-24,36120300
2017-04-25,35881000
2017-04-26,36644500
2017-04-27,31327600
2017-04-28,50376000
2017-05-01,68036300
2017-05-02,268336500
2017-05-03,140899400
2017-05-04,77031400
2017-05-05,51759000
2017-05-08,35101100
2017-05-09,51017300
2017-05-10,65995900
2017-05-11,72946500
2017-05-12,56072600
2017-05-15,52565000
2017-05-16,164186900
2017-05-17,160109500
2017-05-18,86900100
2017-05-19,50319700
2017-05-22,78696400
2017-05-23,49799600
2017-05-24,42903900
2017-05-25,33584300
2017-05-26,31907600
2017-05-30,35339000
2017-05-31,42929000
2017-06-01,48002000
2017-06-02,43056200
2017-06-05,66207300
2017-06-06,114998600
2017-06-07,151005900
2017-06-08,89515100
2017-06-09,167454400
2017-06-12,125781800
2017-06-13,87302300
